Team,Season,rutung1,rutung2
1104,2013,1767,1841
1107,2013,1306,1378
1114,2013,1430,1501
1116,2013,1546,1613
1120,2013,1646,1736
1122,2013,1309,1387
1124,2013,2045,2140
1125,2013,1752,1843
1133,2013,1220,1281
1137,2013,1528,1600
1140,2013,1764,1835
1150,2013,1396,1460
1156,2013,1536,1608
1157,2013,1212,1268
1158,2013,1478,1561
1160,2013,1900,1999
1161,2013,1811,1896
1163,2013,1882,1981
1166,2013,1946,2044
1169,2013,1111,1169
1177,2013,1539,1618
1181,2013,1978,2056
1206,2013,1666,1743
1208,2013,1764,1856
1210,2013,1467,1540
1211,2013,1860,1937
1218,2013,1420,1493
1219,2013,1273,1342
1221,2013,1403,1479
1222,2013,1516,1594
1223,2013,929,985
1228,2013,1635,1708
1231,2013,2003,2099
1233,2013,1677,1759
1234,2013,1779,1861
1235,2013,1908,1990
1237,2013,1497,1585
1242,2013,2125,2211
1243,2013,1901,1981
1245,2013,1456,1518
1246,2013,2193,2287
1259,2013,1635,1724
1260,2013,1262,1340
1261,2013,1706,1782
1267,2013,1752,1844
1274,2013,1742,1816
1278,2013,1795,1885
1279,2013,1925,2028
1284,2013,1433,1521
1287,2013,1437,1525
1288,2013,1073,1127
1292,2013,1508,1567
1301,2013,1844,1934
1303,2013,891,933
1309,2013,900,1000
1313,2013,1446,1532
1314,2013,2087,2177
1318,2013,1436,1511
1329,2013,1776,1860
1333,2013,1724,1811
1335,2013,1666,1754
1336,2013,1664,1750
1338,2013,1710,1789
1350,2013,1630,1717
1351,2013,1405,1478
1371,2013,1694,1769
1375,2013,1402,1476
1382,2013,1916,2027
1383,2013,1248,1310
1387,2013,1808,1892
1389,2013,1062,1119
1390,2013,1669,1743
1392,2013,1475,1546
1395,2013,1652,1733
1397,2013,1916,2013
1400,2013,1908,2000
1401,2013,1659,1740
1402,2013,1182,1245
1403,2013,1426,1497
1407,2013,1267,1335
1417,2013,1732,1810
1421,2013,1554,1635
1425,2013,1279,1336
1426,2013,1396,1452
1431,2013,1553,1631
1433,2013,1954,2056
1434,2013,1705,1793
1436,2013,1571,1659
1448,2013,1408,1466
