    Team,Season,rutung1,rutung2
1128,2005,1229,1278
1143,2005,1436,1483
1206,2005,1503,1571
1272,2005,1643,1697
1280,2005,1941,2013
1343,2005,1476,1540
1388,2005,1572,1649
1393,2005,1857,1939
1137,2005,1132,1177
1193,2005,1322,1377
1307,2005,1365,1412
1365,2005,1374,1441
1415,2005,1299,1367
1182,2005,1408,1473
1236,2005,847,882
1102,2005,1629,1689
1229,2005,1381,1460
1266,2005,1555,1622
1279,2005,1559,1627
1160,2005,1669,1733
1166,2005,1436,1486
1222,2005,1236,1289
1233,2005,1226,1285
1276,2005,1677,1752
1281,2005,1652,1716
1326,2005,1447,1494
1336,2005,1216,1255
1352,2005,1039,1091
1354,2005,1067,1102
1433,2005,1620,1699
1448,2005,1725,1790
1112,2005,1660,1726
1240,2005,1163,1215
1319,2005,1228,1287
1335,2005,1298,1344
1344,2005,1660,1714
1358,2005,1002,1034
1406,2005,1081,1140
1460,2005,1185,1218
1187,2005,1467,1536
1189,2005,1224,1289
1301,2005,1800,1873
1333,2005,1473,1530
1192,2005,1115,1166
1337,2005,1453,1513
1429,2005,1607,1668
1104,2005,1790,1868
1107,2005,828,875
1116,2005,1473,1530
1120,2005,1616,1690
1122,2005,1469,1525
1129,2005,1663,1738
1130,2005,1899,1986
1133,2005,1410,1478
1148,2005,1184,1244
1150,2005,1655,1717
1153,2005,1939,2034
1155,2005,1470,1529
1158,2005,1259,1306
1162,2005,1138,1212
1172,2005,1462,1531
1179,2005,1278,1329
1191,2005,1225,1281
1196,2005,1926,2016
1198,2005,940,984
1199,2005,1608,1674
1201,2005,1450,1520
1202,2005,1298,1356
1210,2005,1860,1938
1211,2005,1922,2008
1228,2005,1894,1967
1232,2005,1129,1174
1234,2005,1572,1631
1242,2005,1801,1869
1245,2005,1460,1516
1261,2005,1579,1631
1265,2005,969,1016
1268,2005,2022,2126
1275,2005,1468,1525
1277,2005,1725,1786
1287,2005,1264,1321
1306,2005,1036,1091
1308,2005,1235,1282
1309,2005,1435,1506
1321,2005,1561,1618
1323,2005,1725,1794
1329,2005,2067,2158
1332,2005,1591,1653
1347,2005,900,934
1348,2005,1555,1628
1350,2005,1633,1699
1359,2005,1063,1109
1364,2005,1255,1307
1384,2005,1089,1140
1390,2005,2055,2141
1395,2005,1537,1614
1400,2005,1856,1930
1401,2005,1095,1130
1403,2005,1757,1836
1418,2005,1618,1699
1420,2005,749,780
1423,2005,1371,1440
1428,2005,1801,1886
1435,2005,1838,1919
1438,2005,1756,1835
1439,2005,1695,1782
1443,2005,1314,1364
1450,2005,1509,1577
1451,2005,1318,1376
1456,2005,970,1011
1461,2005,1420,1483
1462,2005,1927,2024
1117,2005,1319,1384
1127,2005,1140,1195
1154,2005,938,998
1163,2005,1997,2091
1168,2005,1250,1309
1177,2005,1804,1886
1178,2005,1429,1482
1181,2005,1928,2010
1185,2005,1246,1300
1200,2005,1148,1202
1203,2005,1635,1714
1209,2005,1434,1509
1221,2005,1126,1174
1241,2005,987,1025
1246,2005,2111,2205
1248,2005,978,1007
1258,2005,1335,1391
1260,2005,1168,1226
1274,2005,1398,1458
1291,2005,1137,1196
1310,2005,1460,1525
1318,2005,1239,1296
1328,2005,1639,1694
1330,2005,1346,1407
1334,2005,1784,1881
1338,2005,1941,2021
1339,2005,1171,1217
1368,2005,1123,1166
1378,2005,1149,1191
1385,2005,1355,1415
1416,2005,1586,1665
1417,2005,1333,1381
1452,2005,1536,1601
1453,2005,1332,1389
1454,2005,1450,1508
1455,2005,1510,1571
1457,2005,1114,1158
1458,2005,1957,2047
1463,2005,1057,1103
1113,2005,1327,1375
1184,2005,1188,1243
1214,2005,891,919
1220,2005,1292,1346
1254,2005,825,859
1256,2005,1387,1446
1278,2005,1473,1536
1298,2005,800,846
1305,2005,1807,1896
1376,2005,1730,1799
1409,2005,1237,1289
