Team,Season,rutung1,rutung2
1165,2006,1180,1232
1393,2006,1986,2085
1107,2006,1073,1124
1126,2006,879,922
1196,2006,2068,2162
1204,2006,1201,1250
1206,2006,1282,1327
1324,2006,1454,1541
1403,2006,1852,1936
1439,2006,1670,1743
1441,2006,963,1009
1448,2006,1920,1994
1363,2006,1059,1104
1414,2006,1301,1359
1132,2006,1402,1458
1347,2006,1059,1116
1452,2006,1873,1962
1459,2006,1261,1320
1102,2006,1462,1511
1150,2006,1621,1674
1192,2006,1344,1420
1246,2006,1941,2016
1252,2006,1258,1320
1274,2006,1528,1578
1321,2006,1598,1669
1423,2006,1377,1426
1449,2006,2004,2094
1453,2006,1167,1203
1461,2006,1398,1447
1139,2006,1287,1348
1159,2006,1040,1088
1180,2006,1427,1489
1181,2006,2045,2143
1234,2006,1745,1830
1250,2006,1050,1100
1355,2006,900,1000
1358,2006,1247,1308
1371,2006,1493,1557
1422,2006,1354,1423
1426,2006,960,999
1104,2006,1826,1899
1106,2006,960,1002
1271,2006,609,644
1272,2006,1712,1800
1319,2006,1030,1079
1359,2006,1003,1031
1396,2006,1509,1567
1400,2006,1697,1768
1417,2006,1801,1883
1170,2006,1230,1286
1227,2006,1273,1326
1111,2006,1250,1303
1116,2006,1462,1508
1129,2006,1541,1619
1130,2006,1748,1805
1137,2006,1497,1580
1138,2006,1653,1727
1148,2006,987,1028
1149,2006,1196,1266
1155,2006,1717,1795
1160,2006,1542,1611
1161,2006,1389,1461
1162,2006,837,868
1163,2006,1915,1990
1173,2006,1429,1477
1174,2006,1122,1169
1176,2006,1508,1574
1185,2006,1094,1137
1187,2006,1269,1316
1191,2006,1217,1272
1207,2006,1622,1694
1210,2006,1892,1984
1211,2006,1959,2047
1221,2006,1474,1540
1228,2006,2135,2227
1231,2006,1710,1785
1242,2006,1768,1835
1243,2006,1692,1772
1258,2006,1271,1331
1261,2006,1887,1964
1266,2006,1468,1521
1268,2006,1573,1630
1269,2006,1359,1408
1276,2006,1353,1409
1278,2006,1809,1897
1279,2006,1524,1588
1301,2006,1861,1946
1304,2006,1575,1643
1307,2006,1887,1983
1310,2006,1480,1555
1318,2006,1446,1513
1329,2006,1958,2051
1330,2006,1616,1687
1350,2006,1398,1453
1356,2006,1708,1777
1360,2006,1625,1705
1364,2006,1223,1286
1376,2006,1496,1544
1378,2006,1591,1675
1379,2006,1239,1296
1382,2006,950,994
1383,2006,1026,1068
1386,2006,1652,1720
1397,2006,1601,1665
1407,2006,1093,1140
1420,2006,1077,1142
1424,2006,1632,1703
1428,2006,1778,1849
1435,2006,1608,1665
1437,2006,1925,2008
1438,2006,1585,1651
1443,2006,1438,1494
1456,2006,1046,1096
1457,2006,1533,1605
1458,2006,1919,2006
1463,2006,1091,1136
1125,2006,1269,1334
1128,2006,1188,1254
1133,2006,1301,1356
1153,2006,1697,1756
1166,2006,1796,1886
1197,2006,1031,1078
1199,2006,1478,1544
1217,2006,1112,1158
1218,2006,1343,1397
1219,2006,997,1048
1220,2006,1509,1569
1237,2006,1301,1367
1244,2006,900,1000
1256,2006,1283,1323
1257,2006,2009,2100
1259,2006,932,976
1260,2006,1441,1510
1280,2006,1697,1763
1283,2006,1661,1739
1305,2006,1703,1769
1314,2006,2001,2079
1328,2006,1869,1949
1336,2006,1179,1232
1338,2006,1833,1914
1345,2006,1431,1501
1346,2006,845,877
1348,2006,1210,1266
1354,2006,1149,1208
1372,2006,936,969
1384,2006,988,1031
1385,2006,1453,1518
1429,2006,1722,1815
1430,2006,1299,1363
1450,2006,1555,1622
1462,2006,1558,1625
1120,2006,1617,1694
1154,2006,880,912
